Source	EgoNetworksCombined	id	Occupation	Political rank	Military rank	RecipientLetterCount by EE ID	AuthorLetterCount by EE ID	Total Letters	CNRS-D ID	Full Name	Full Name Reversed	Particule?	Relationships	Aristo title	Clerical title	Wikipedia URL	VIAF ID	VIAF URL	Academies by VIAF	Wikipedia Image Link	Knowledge Network	Social Network	Professional Network	Religious Network	Academies	Royal Academy	Institut de France	Academy_single	Academiy_single_provincial	Salons	GenderGroup	Nationality	Birth Date	Birth Year	Death Date	Death Year	Birth City	Birth Country	Death City	Death Country	LockeNet	ASmithNet	VoltaireNet	RousseauNet	D'AlembertNet	HumeNet	BenthamNet
EE	Locke	renaueuseb004854	journalist,orientalist			0	2	2		Eusèbe Renaudot	Renaudot, Eusèbe					http://en.wikipedia.org/wiki/Eusèbe_Renaudot	1.02329089E8	http://viaf.org/102329089	Académie française; Académie royale des inscriptions et belles-lettres		Letters_Literary, Letters_Antiquarian	Court	Cultural	Catholic_Jansenist	French Academy, Academy of Inscriptions	Yes					Male	French	7/20/1646	1646	9/7/1720	1720	Paris	France	Paris	France	Locke	 	 	 	 	 	 
EE		baylepierr000227	author,philosopher			2	139	141		Pierre Bayle	Bayle, Pierre					http://en.wikipedia.org/wiki/Pierre_Bayle	6.1554695E7	http://viaf.org/61554695		upload.wikimedia.org/wikipedia/commons/2/24/Pierre_Bayle.jpg	Letters_Literary, Letters_Philosophical		Education								Male	French	11/18/1647	1647	12/28/1706	1706	Le Carla	France	Rotterdam	Netherlands	 	 	 	 	 	 	 
EE		papindenis025522	physicist,mathematician,inventor			0	0	0		Denis Papin	Papin, Denis					http://en.wikipedia.org/wiki/Denis_Papin	1.00307263E8	http://viaf.org/100307263		upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Denis_Papin.jpg/250px-Denis_Papin.jpg	Sciences_Mathematical	Court	Education, Other		Royal Society, Prussian Academy of Sciences						Male	French	8/22/1647	1647	1712-00-00	1712	Chitenay	France	London	England	 	 	 	 	 	 	 
EE		duncadanie025605	physician,doctor,author,Huguenot,anatomist			0	0	0		Dr Daniel Duncan	Duncan, Dr Daniel						4.428827E7	http://viaf.org/44288270			Sciences_Natural, Sciences_Medicine	Court	Medical, Education	Protestant_Non-Anglican_Calvinist							Male	French	1649-00-00	1649	4/30/1735	1735	Montauban	France	London	England	 	 	 	 	 	 	 
EE	Voltaire	dacieandre000828	scholar,academy member,classicist,librarian			0	1	1		André Dacier	Dacier, André					http://en.wikipedia.org/wiki/André_Dacier	2.7063045E7	http://viaf.org/27063045	Académie française; Académie royale des inscriptions et belles-lettres	http://upload.wikimedia.org/wikipedia/commons/6/6c/Andr%C3%A9_Dacier.JPG	Letters_Literary, Letters_Antiquarian	Government, Court	Cultural		French Academy, Academy of Inscriptions	Yes					Male	French	4/6/1651	1651	9/18/1722	1722	Castres	France		unknown	 	 	Voltaire	 	 	 	 
EE		vauqujean0025402	physician,doctor,alchemist			0	0	0		Jean Vauquelin Des Yvetaux	Vauquelin Des Yvetaux, Jean										Sciences_Natural		Medical								Male	French	1651-00-00	1651	1716-00-00	1716	Caen	France		unknown	 	 	 	 	 	 	 
EE		voyermarcr024290	aristocrat,government minister	minister		7	1	8		Marc René de Voyer de Paulmy, marquis d'Argenson	Voyer de Paulmy, Marc René de, marquis d'Argenson	Yes		marquis		http://en.wikipedia.org/wiki/Marc-René_de_Voyer_de_Paulmy_d'Argenson_(1652–1721)	1.7498209E7	http://viaf.org/17498209	Académie royale des inscriptions et belles-lettres; Académie royale des sciences	http://upload.wikimedia.org/wikipedia/commons/5/59/Argenson%2C_Marc-Ren%C3%A9_de_Voyer_d%27.jpg		Aristocracy, Elite, Government	Cultural		Academy of Inscriptions, Académie des sciences	Yes					Male	French	1652-00-00	1652	1721-00-00	1721	Venice	Italy		France	 	 	 	 	 	 	 
EE	Locke	reneuhilar004855	merchant,translator			0	1	1		Hilary Reneu	Reneu, Hilary										Letters_Literary		Trade-merchant, Finance-banking								Female	French	1652-00-00	1652	1713-00-00	1713	Bordeaux	France	London	England	Locke	 	 	 	 	 	 
EE	Voltaire	fleurandre000085	government minister,churchman,patron	minister		12	3	15		Cardinal André Hercule de Fleury	Fleury, Cardinal André Hercule de	Yes			cardinal	http://en.wikipedia.org/wiki/André-Hercule_de_Fleury	119658	http://viaf.org/119658	Académie française; Académie royale des inscriptions et belles-lettres; Académie royale des sciences			Elite, Government, Aristocracy		Catholic_High-ranking officials	French Academy, Academy of Inscriptions, Académie des sciences	Yes					Male	French	6/22/1653	1653	1/29/1743	1743	Lodève	France	Paris	France	 	 	Voltaire	 	 	 	 
EE		basnajacqu024075	theologian,clergyman			11	0	11		Jacques Basnage	Basnage, Jacques						5.6765783E7	http://viaf.org/56765783			Letters_Religious			Protestant_Non-Anglican_Calvinist							Male	French	1653-00-00	1653	9/22/1723	1723	Rouen	France		unknown	 	 	 	 	 	 	 
EE		laboncharl003634	diplomat	diplomat		1	0	1		Charles François de La Bonde, marquis d'Iberville	La Bonde, Charles François de, marquis d'Iberville	Yes		marquis								Government, Aristocracy									Male	French	1653-00-00	1653	1723-00-00	1723		France		unknown	 	 	 	 	 	 	 
EE	Voltaire	ducdeclaud000669	general,army officer,soldier,politician,aristocrat		high-ranking_general	0	1	1		Claude Louis Hector de Villars, duc de Villars	Villars, Claude Louis Hector de, duc de Villars	Yes		duc		http://en.wikipedia.org/wiki/Claude_Louis_Hector_de_Villars	7.640232E7	http://viaf.org/76402320		upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Claude_Louis_Hector_duc_de_Villars.jpg/250px-Claude_Louis_Hector_duc_de_Villars.jpg		Military, Elite, Government, Aristocracy			French Academy	Yes		Yes			Male	French	5/8/1653	1653	6/17/1734	1734	Moulins	France	Turin	Italy	 	 	Voltaire	 	 	 	 
EE	Voltaire	princphili001239	general,army officer,soldier,prince		high-ranking_general	1	0	1		Philippe, prince de Vendôme	Philippe, prince de Vendôme	Yes		prince								Military, Elite, Aristocracy									Male	French	1655-00-00	1655	1727-00-00	1727		France		unknown	 	 	Voltaire	 	 	 	 
EE		cherrclaud000630	poet,author			0	1	1		Claude Cherrier	Cherrier, Claude						7388343	http://viaf.org/7388343			Letters_Literary		Artist								Male	French	1655-00-00	1655	1738-00-00	1738		unknown		unknown	 	 	 	 	 	 	 
EE	Voltaire	duboiguill001394	diplomat,statesman,churchman	minister		1	0	1		Cardinal Guillaume Dubois	Dubois, Cardinal Guillaume					http://en.wikipedia.org/wiki/Guillaume_Dubois	7.152491E7	http://viaf.org/71524910	Académie française; Académie royale des inscriptions et belles-lettres; Académie royale des sciences	upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Guillaume_Dubois.PNG/250px-Guillaume_Dubois.PNG		Elite, Government	Cultural	Catholic_High-ranking officials	French Academy, Academy of Inscriptions, Académie des sciences	Yes					Male	French	9/6/1656	1656	8/10/1723	1723	Brive	France	Versailles	France	 	 	Voltaire	 	 	 	 
EE	Voltaire	lebovberna002231	academy member,poet,author,philosopher			1	0	1		Bernard Le Bovier de Fontenelle	Le Bovier de Fontenelle, Bernard	Yes				http://en.wikipedia.org/wiki/Bernard_le_Bovier_de_Fontenelle	9.9744686E7	http://viaf.org/99744686	Académie de Stanislas; Académie des sciences, belles-lettres et arts de Rouen; Académie française; Académie royale des inscriptions et belles-lettres; Académie royale des sciences	upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Fontenelle_2.jpg/220px-Fontenelle_2.jpg	Letters_Literary, Letters_Philosophical, Sciences	Elite, Aristocracy	Artist, Cultural		French Academy, Académie des sciences, Academy of Inscriptions, Royal Society, Academy of Stanislas, Academy of Rouen	Yes				Dupin, Graffigny, Tencin, Geoffrin, Lespinasse?, Deffand	Male	French	1657-00-00	1657	1757-00-00	1757		France		unknown	 	 	Voltaire	 	 	 	 
EE		rossimiche001186	churchman			1	0	1		Michel Gabriel de Rossillon, marquis de Bernex	Rossillon, Michel Gabriel de, marquis de Bernex	Yes		marquis								Elite, Aristocracy		Catholic_High-ranking officials							Male	French	1657-00-00	1657	4/23/1734	1734		France		unknown	 	 	 	 	 	 	 
EE		nicoljeana024304	aristocrat			1	0	1		Jean Aymar de Nicolay, marquis de Goussainville	Nicolay, Jean Aymar de, marquis de Goussainville	Yes		marquis								Elite, Aristocracy									Male	French	1658-00-00	1658	10/6/1737	1737		France		unknown	 	 	 	 	 	 	 
EE	Voltaire	castecharl000559	academy member,political reformer			0	1	1		Charles Irénée Castel, abbé de Saint-Pierre	Castel, Charles Irénée, abbé de Saint-Pierre	Yes			abbé	http://en.wikipedia.org/wiki/Charles-Ir%C3%A9n%C3%A9e_Castel_de_Saint-Pierre	2.2201759E7	http://viaf.org/viaf/22201759/		http://upload.wikimedia.org/wikipedia/commons/a/af/Castel_de_saintpierre.jpg	Political economy, Letters_Philosophical	Elite, Aristocracy	Cultural	Clergy	French Academy	Yes		Yes		Entresol, Necker	Male	French	2/18/1658	1658	4/29/1743	1743	Saint-Pierre-Église	France	Paris	France	 	 	Voltaire	 	 	 	 
EE		courtfranc000749	poet,author			1	0	1		François Courtin	Courtin, François										Letters_Literary		Artist								Male	French	1659-00-00	1659	1739-00-00	1739		France		unknown	 	 	 	 	 	 	 
EE	Voltaire	nadalaugus002647	playwright			1	0	1		Augustin Nadal	Nadal, Augustin					http://en.wikipedia.org/wiki/Augustin_Nadal	8.8037078E7	http://viaf.org/88037078			Letters_Literary		Cultural		Academy of Inscriptions	Yes		Yes			Male	French	1659-00-00	1659	1741-00-00	1741		unknown		unknown	 	 	Voltaire	 	 	 	 
EE		duligetien025604	Huguenot,apothecary,pharmacist,druggist			0	0	0		Étienne Du Lignon	Du Lignon, Étienne												Medical								Male	French	1659-00-00	1659	1705-00-00	1705	Marjevols	France	London	England	 	 	 	 	 	 	 
EE	Voltaire	tournrenej003333	priest,author,newspaper editor,teacher			5	4	9		René Joseph Tournemine	Tournemine, René Joseph					http://en.wikipedia.org/wiki/René-Joseph_Tournemine	2.4593056E7	http://viaf.org/24593056			Letters_Literary, Letters_Religious		Cultural, Education	Catholic_Jesuit							Male	French	1661-00-00	1661	1739-00-00	1739	Rennes	France	Paris	France	 	 	Voltaire	 	 	 	 
EE	Voltaire	veyssmathu003442	librarian			1	1	2		Mathurin Veyssière de La Croze	Veyssière de La Croze, Mathurin	Yes				http://en.wikipedia.org/wiki/Maturin_Veyssière_La_Croze	9.5298985E7	http://viaf.org/95298985			Letters_Religious, Letters_Philosophical, Letters_Literary	Court, Government	Cultural, Education								Male	French	12/4/1661	1661	5/21/1739	1739	Nantes	France	Berlin	Germany	 	 	Voltaire	 	 	 	 
EE		cornajd000025620	clergyman,journalist,author			0	0	0		Rev. Jean Cornand de La Croze	Cornand de La Croze, Rev. Jean	Yes									Letters_Literary		Cultural	Protestant_Anglican							Male	French	1661-00-00	1661	1705-00-00	1705	Grenoble	France	London	England	 	 	 	 	 	 	 
EE		fleurjosep001578	aristocrat,government minister	minister		0	0	0		Joseph Jean Baptiste Fleuriau, seigneur d'Armenonville	Fleuriau, Joseph Jean Baptiste, seigneur d'Armenonville	Yes		seigneur			2.7366371E7	http://viaf.org/27366371				Aristocracy, Government									Male	French	1661-00-00	1661	1728-00-00	1728		unknown		unknown	 	 	 	 	 	 	 
EE	Voltaire	bignojeanp000301	academy member,clergyman			3	0	3		Jean Paul Bignon	Bignon, Jean Paul					http://en.wikipedia.org/wiki/Jean-Paul_Bignon	2.9581678E7	http://viaf.org/29581678	"Académie des sciences et lettres de Montpellier	Académie française, Académie royale des inscriptions et belles-lettres,	Académie royale des sciences, Société royale des sciences de Montpellier"		Letters	Government	Cultural	Catholic_Jansenist	French Academy, Academy of Montpellier, Academy of Inscriptions, Académie des sciences, Société royale des sciences de Montpellier	Yes					Male	French	9/19/1662	1662	3/14/1743	1743	Paris	France		unknown	 	 	Voltaire	 	 	 	 
EE	Voltaire	bruzeantoi000456	historian			1	1	2		Antoine Augustin Bruzen de La Martinière	Bruzen de La Martinière, Antoine Augustin	Yes					1.00174728E8	http://viaf.org/100174728			Letters_Literary										Male	French	1662-00-00	1662	1746-00-00	1746	Dieppe	France	The Hague	Netherlands	 	 	Voltaire	 	 	 	 
EE		princeugen001499	prince			2	0	2		Eugène, prince de Savoie-Carignan	Eugène, prince de Savoie-Carignan	Yes		prince							Collector	Military, Aristocracy, Elite									Male	French	10/16/1663	1663	4/24/1736	1736	Paris	France	Vienna	Austria	 	 	 	 	 	 	 
EE	Locke	gendrclaud004765	physician,doctor,surgeon			0	2	2		Claude Deshais Gendron	Gendron, Claude Deshais						3.2776364E7	http://viaf.org/32776364			Sciences_Medicine	Court	Medical								Male	French	1663-00-00	1663	1750-00-00	1750		France		unknown	Locke	 	 	 	 	 	 
EE		boydjacqu0000047	politician,merchant,Huguenot,vintner			0	0	0		Jacques Boyd	Boyd, Jacques										Political economy		Trade-merchant, Artisan								Male	French	1665-00-00	1665	1716-00-00	1716	Bordeaux	France	South Carolina	America	 	 	 	 	 	 	 
EE		lefevlouis002246	aristocrat,civil servant			0	1	1		Louis François Le Fèvre de Caumartin, marquis de Boissy	Le Fèvre de Caumartin, Louis François, marquis de Boissy	Yes		marquis								Aristocracy, Elite, Government									Male	French	1665-00-00	1665	1722-00-00	1722		France		unknown	 	 	 	 	 	 	 
EE		maraimathi002473	lawyer,author,legal writer,writer of memoirs			0	2	2		Mathieu Marais	Marais, Mathieu					http://en.wikipedia.org/wiki/Matthieu_Marais	6.1549221E7	http://viaf.org/61549221			Letters_Literary		Legal								Male	French	10/11/1665	1665	6/22/1737	1737	Paris	France	Paris	France	 	 	 	 	 	 	 
EE	Voltaire	carvocharl000934	aristocrat,salon hostess			5	0	5		Charlotte Madeleine de Carvoisin d'Achy, marquise de Mimeure	Carvoisin d'Achy, Charlotte Madeleine de, marquise de Mimeure	Yes		marquise								Elite, Aristocracy	Cultural								Female	French	1666-00-00	1666	1739-00-00	1739		France		unknown	 	 	Voltaire	 	 	 	 
EE	Voltaire	bourbmarie000905	princess			1	0	1		Marie Anne de Bourbon, princesse de Conti	Bourbon, Marie Anne de, princesse de Conti	Yes		princesse		http://en.wikipedia.org/wiki/Marie_Anne_de_Bourbon	6.2859053E7	http://viaf.org/62859053		upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Marie_Anne_de_Bourbon_par_Rigaud_c.1706.jpg/220px-Marie_Anne_de_Bourbon_par_Rigaud_c.1706.jpg		Elite, Government, Aristocracy									Female	French	10/2/1666	1666	5/3/1739	1739	Vincennes	France	Paris	France	 	 	Voltaire	 	 	 	 
EE	Voltaire	daguehenri000832	statesman	minister		2	4	6		Henri François Daguesseau	Daguesseau, Henri François					http://en.wikipedia.org/wiki/Henri_François_d'Aguesseau	7.3848894E7	http://viaf.org/73848894	Académie des sciences	http://upload.wikimedia.org/wikipedia/commons/7/7e/Henri_Fran%C3%A7ois_d%27Aguesseau.jpg		Elite, Government, Aristocracy			Académie des sciences	Yes		Yes		Bolingbroke, Geoffrin	Male	French	11/27/1668	1668	2/5/1751	1751	Limoges	France	Paris	France	 	 	Voltaire	 	 	 	 
EE	Locke	costepierr000741	tutor,translator			0	7	7		Pierre Coste	Coste, Pierre						9.9336186E7	http://viaf.org/99336186			Letters_Literary	Court	Education								Male	French	10/27/1668	1668	1/24/1747	1747	Uzès	France	Paris	France	Locke	 	 	 	 	 	 
EE	Voltaire	bethumaxim000869	aristocrat			2	0	2		Maximilien Henri de Béthune, duc de Sully	Béthune, Maximilien Henri de, duc de Sully	Yes		duc								Aristocracy, Elite									Male	French	7/19/1669	1669	2/2/1729	1729		France		unknown	 	 	Voltaire	 	 	 	 
EE	Voltaire	rabutmiche001169	churchman			1	0	1		Michel Celse Roger de Rabutin, comte de Bussy	Rabutin, Michel Celse Roger de, comte de Bussy	Yes		comte		http://en.wikipedia.org/wiki/Michel-Celse-Roger_de_Bussy-Rabutin	1.9671536E7	http://viaf.org/19671536				Aristocracy	Cultural	Catholic_Clergy	French Academy	Yes		Yes		Tencin	Male	French	1669-00-00	1669	11/3/1736	1736		France		unknown	 	 	Voltaire	 	 	 	 
EE	Voltaire, Locke	roussjeanb003041	poet,author,playwright			19	22	41		Jean Baptiste Rousseau	Rousseau, Jean Baptiste					http://en.wikipedia.org/wiki/Jean-Baptiste_Rousseau	4.1849485E7	http://viaf.org/41849485	Académie royale des inscriptions et belles-lettres	upload.wikimedia.org/wikipedia/commons/thumb/9/96/Rousseau%2C_Jean-Baptiste_%28%D0%A0%D1%83%D1%81%D1%81%D0%BE%2C_%D0%96%D0%B0%D0%BD_%D0%91%D0%B0%D1%82%D0%B8%D1%81%D1%82%29.jpg/220px-Rousseau%2C_Jean-Baptiste_%28%D0%A0%D1%83%D1%81%D1%81%D0%BE%2C_%D0%96%D0%B0%D0%BD_%D0%91%D0%B0%D1%82%D0%B8%D1%81%D1%82%29.jpg	Letters_Literary		Artist, Cultural		Academy of Inscriptions	Yes		Yes			Male	French	4/16/1670	1670	5/17/1741	1741	Paris	France	Brussels	Belgium	Locke	 	Voltaire	 	 	 	 
EE	Voltaire, Locke	dubosjeanb001397, dubosjb000004747	diplomat,academy member,clergyman,author, scholar, historian	diplomat		1	17	18		Jean Baptiste Dubos	Dubos, Jean Baptiste				abbé	http://en.wikipedia.org/wiki/Jean-Baptiste_Dubos	8.8936883E7	http://viaf.org/88936883		upload.wikimedia.org/wikipedia/commons/5/5b/Du_bos.jpg	Letters_Literary, Letters, Letters_Antiquarian	Government	Cultural	Catholic_Clergy	French Academy	Yes		Yes			Male	French	1670-12-00	1670	3/23/1742	1742	Beauvais	France	Paris	unknown	Locke	 	Voltaire	 	 	 	 
EE	Voltaire	brossclaud000441	politician,lawyer,academy member,historian			7	9	16		Claude Brossette	Brossette, Claude					http://en.wikipedia.org/wiki/Claude_Brossette	1.4896868E7	http://viaf.org/14896868	Académie des sciences, belles-lettres et arts de Lyon		Letters_Literary	Government	Legal, Cultural		Academy of Lyon			Yes	Yes		Male	French	11/7/1671	1671	1743-00-00	1743	Theizé	France		unknown	 	 	Voltaire	 	 	 	 
EE	Voltaire	latouhenri002182	churchman			3	0	3		Cardinal Henri Oswald de La Tour d'Auvergne	La Tour d'Auvergne, Cardinal Henri Oswald de	Yes			cardinal						Letters_Religious	Elite, Aristocracy		Catholic_High-ranking officials							Male	French	11/5/1671	1671	4/22/1747	1747	Barcy	France	Paris	France	 	 	Voltaire	 	 	 	 
EE	Voltaire	broglfranc001613	aristocrat			1	1	2		François Marie de Broglie, comte de Broglie	Broglie, François Marie de, comte de Broglie	Yes		comte		http://en.wikipedia.org/wiki/François-Marie,_1st_duc_de_Broglie	2.7335281E7	http://viaf.org/27335281				Aristocracy, Elite, Military									Male	French	1/11/1671	1671	5/22/1745	1745		France		unknown	 	 	Voltaire	 	 	 	 
EE		beauvcathe024042	aristocrat			0	2	2		Catherine Diane de Beauvau-Craon, marquise de Bassompierre	Beauvau-Craon, Catherine Diane de, marquise de Bassompierre	Yes		marquise								Elite, Aristocracy									Female	French	1671-00-00	1671	4/25/1752	1752		France		unknown	 	 	 	 	 	 	 
EE	Voltaire	phelylouis002186	aristocrat			5	7	12		Louis Phélypeaux, marquis de La Vrillière	Phélypeaux, Louis, marquis de La Vrillière	Yes		marquis		http://en.wikipedia.org/wiki/Louis_Phélypeaux,_marquis_de_La_Vrillière	1.9635062E7	http://viaf.org/19635062				Aristocracy, Elite, Government									Male	French	4/14/1672	1672	9/17/1725	1725		France		unknown	 	 	Voltaire	 	 	 	 
EE	Voltaire	calmeaugus000507	scholar,monk			5	1	6		Augustin Calmet	Calmet, Augustin					http://en.wikipedia.org/wiki/Antoine_Augustin_Calmet	2.4619702E7	http://viaf.org/24619702		upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Don_Augustin_Calmet_%281672-1757%29.jpg/200px-Don_Augustin_Calmet_%281672-1757%29.jpg	Letters_Antiquarian, Letters_Religious		Education	Catholic_Clergy							Male	French	2/26/1672	1672	10/25/1757	1757	Ménil-la-Horgne	France	Senones	France	 	 	Voltaire	 	 	 	 
EE	Voltaire	branclouis000424	general,army officer,diplomat,soldier	diplomat	high-ranking_general	5	0	5		Louis de Brancas de Forcalquier, marquis de Céreste	Brancas de Forcalquier, Louis de, marquis de Céreste	Yes		marquis		http://en.wikipedia.org/wiki/Louis,_Marquis_of_Brancas_and_Prince_of_Nisaro						Government, Elite, Military, Aristocracy								Graffigny, Arnould	Male	French	1/19/1672	1672	8/9/1750	1750		France		unknown	 	 	Voltaire	 	 	 	 
EE	Voltaire	laroqantoi001059	journalist,art connoisseur			1	0	1		Antoine de La Roque	La Roque, Antoine de	Yes					941368	http://viaf.org/941368			Collector		Cultural								Male	French	1672-00-00	1672	1744-00-00	1744		unknown		unknown	 	 	Voltaire	 	 	 	 
EE	Rousseau	ussonjeanl000825	diplomat,aristocrat	diplomat		1	0	1		Jean Louis d'Usson, marquis de Bonnac	Usson, Jean Louis d', marquis de Bonnac	Yes		marquis			3.2146935E7	http://viaf.org/32146935				Aristocracy, Elite, Government									Male	French	1672-00-00	1672	9/1/1738	1738		France		unknown	 	 	 	Rousseau	 	 	 
